"colMeans.states.","InfoPublYear","InfoPublMonth"
1.85433333333333,2007,1
1.999,2007,2
2,2007,3
2,2007,5
2,2007,6
2,2007,7
1.01233333333333,2007,8
1.41933333333333,2007,9
1.70733333333333,2007,10
1.992,2007,11
2,2007,12
2,2008,1
2,2008,5
1.99933333333333,2008,6
1.425,2008,7
1.45533333333333,2008,8
1.00033333333333,2008,9
1.006,2008,10
1,2008,12
1,2009,1
1,2009,2
1.01333333333333,2009,3
1.00266666666667,2009,4
1.407,2009,5
1.93766666666667,2009,6
1.79133333333333,2009,7
1,2009,8
1,2009,9
1,2009,11
1.005,2009,12
1.002,2010,1
1.56766666666667,2010,2
1,2010,3
1,2010,4
1.008,2010,5
1,2010,6
1,2010,7
1,2010,8
1,2010,9
1,2010,10
1,2010,11
1,2010,12
1,2011,1
1,2011,2
1,2011,3
1,2011,4
1,2011,5
1,2011,6
1,2011,7
1,2011,8
1,2011,9
1,2011,10
1,2011,11
1,2011,12
1,2012,1
1,2012,2
1,2012,3
1,2012,4
1,2012,5
1,2012,6
1,2012,7
1,2012,8
1,2012,9
1,2012,10
1,2012,11
1,2012,12
1,2013,1
1,2013,2
1,2013,3
1,2013,4
1,2013,5
1,2013,6
1,2013,7
1,2013,8
1,2013,9
1,2013,10
1,2013,11
1,2013,12
1,2014,1
1,2014,2
1,2014,3
1,2014,4
1,2014,5
1,2014,6
1,2014,7
1,2014,8
1,2014,9
1,2014,10
1,2014,11
1,2014,12
1,2015,1
1,2015,2
1,2015,3
1.22933333333333,2015,4
1.004,2015,5
1.99666666666667,2015,6
2,2015,7
1.017,2015,8
1.027,2015,9
1.003,2015,10
1,2015,11
1,2015,12
1,2016,1
1,2016,2
1,2016,3
1,2016,4
1,2016,5
1,2016,6
1,2016,7
1,2016,8
1,2016,9
1,2016,10
1,2016,11
1,2016,12
1,2017,1
1,2017,2
1,2017,3
1,2017,4
1,2017,5
1,2017,6
1.00366666666667,2017,7
1.00533333333333,2017,8
1.10966666666667,2017,9
1.03766666666667,2017,10
1.36133333333333,2017,11
1.89666666666667,2018,2
2,2018,3
2,2018,4
2,2018,5
2,2018,6
2,2018,7
2,2018,8
2,2018,9
2,2018,10
1.55366666666667,2018,11
1.01,2018,12
1.995,2019,1
1.99466666666667,2019,2
1.86833333333333,2019,3
1.01233333333333,2019,4
1.02333333333333,2019,5
1.16833333333333,2019,6
1.271,2019,7
2,2019,8
2,2019,9
2,2019,11
2,2020,1
1.994,2020,2
1.89866666666667,2020,3
2,2020,4
2,2020,5
2,2020,6
2,2020,7
1.98333333333333,2020,8
1,2020,9
1,2020,10
1,2020,11
1,2020,12
1.00133333333333,2021,1
1.13566666666667,2021,2
1.23233333333333,2021,3
1.99866666666667,2021,4
1.99966666666667,2021,5
1.999,2021,6
1.00033333333333,2021,7
1,2021,8
1.99966666666667,2021,9
1.023,2021,10
1,2021,11
1,2021,12
1,2022,1
1,2022,2
1,2022,3
1,2022,4
1,2022,5
1,2022,6
1,2022,7
1,2022,8
1,2022,9
1,2022,10
1,2022,11
1,2022,12
1,2023,1
1,2023,2
1,2023,3
1,2023,4
1,2023,5
1,2023,6
1,2023,7
1,2023,8
1,2023,9
1,2023,10
1,2023,11
1,2023,12
2,2024,1
